tv,Ts,nparticles
0.6999663699266347,1,512
0.6754251719307065,2,512
0.6611905721037185,3,512
0.6364868880585535,4,512
0.6237531514311114,5,512
0.6102564450553998,6,512
0.6013965503431167,7,512
0.5875200407387345,8,512
0.5782657944232873,9,512
0.5608243112161616,10,512
0.5430588985425678,11,512
0.5297854722147869,12,512
0.5189769222907052,13,512
0.507663022390758,14,512
0.4950253202334066,15,512
0.49051418807956054,16,512
0.48371504906184776,17,512
0.4709085674501724,18,512
0.46002490688285463,19,512
0.4536887348592813,20,512
0.4474779532971019,21,512
0.4419182191239341,22,512
0.43524258123134724,23,512
0.42981703717305314,24,512
0.42501592113062914,25,512
0.42040633326311627,26,512
0.41822799724447457,27,512
0.41357589081824886,28,512
0.410360561976919,29,512
0.40707356019437096,30,512
0.4026476886221581,31,512
0.39870452499395903,32,512
0.3961872346824262,33,512
0.3903588756524412,34,512
0.38621453321876165,35,512
0.3787361965453966,36,512
0.3731365212715763,37,512
0.3672294663317472,38,512
0.36228525600183475,39,512
0.35693672773605284,40,512
0.352951552526043,41,512
0.3509809692885066,42,512
0.3516256293495375,43,512
0.35056014860019397,44,512
0.3488079265851185,45,512
0.3458548072580758,46,512
0.34468988338372186,47,512
0.34249895737248803,48,512
0.341051405895429,49,512
0.3370746538956185,50,512
0.3340640620314226,51,512
0.3295324578885334,52,512
0.32533323694847793,53,512
0.3218706706031034,54,512
0.31896602465248985,55,512
0.3174641795551788,56,512
0.31457783582832016,57,512
0.31242512435457387,58,512
0.30993905005576167,59,512
0.3070502596907574,60,512
0.30452419675747305,61,512
0.30232812629034556,62,512
0.3022050753997493,63,512
0.3011391250004517,64,512
0.2990305638778127,65,512
0.29728772611428994,66,512
0.29642817840205854,67,512
0.29371749493788085,68,512
0.29163971507471714,69,512
0.2893215992381856,70,512
0.2859536368190155,71,512
0.28313697738797006,72,512
0.2804196295473146,73,512
0.27846274606753046,74,512
0.2762877697931447,75,512
0.2748182562916253,76,512
0.27319121287288867,77,512
0.27165050691574366,78,512
0.2684546525877592,79,512
0.266376845690869,80,512
0.2651458009037294,81,512
0.2641722371802755,82,512
0.26289964271874416,83,512
0.2610846646612264,84,512
0.2596857332098654,85,512
0.25927237975996403,86,512
0.2580618526933604,87,512
0.2577751518306605,88,512
0.2570176193067359,89,512
0.2557752008751467,90,512
0.25433111865858754,91,512
0.25387757515877435,92,512
0.25310928465627297,93,512
0.252085743489653,94,512
0.25160459688055675,95,512
0.2508457941153239,96,512
0.24937277542043568,97,512
0.2476953296270346,98,512
0.24598102967657534,99,512
0.24379524959151236,100,512
0.2415785639803097,101,512
0.24009244689815032,102,512
0.23979824902859986,103,512
0.23897802859336834,104,512
0.23779952017811753,105,512
0.23585609373541402,106,512
0.2348898216237956,107,512
0.2333486976555348,108,512
0.23250072679657566,109,512
0.2316173890658319,110,512
0.23112800119395277,111,512
0.23024540644126062,112,512
0.22891358824451166,113,512
0.22813940682332395,114,512
0.22727117125566793,115,512
0.22642497189382257,116,512
0.2255722747502446,117,512
0.22459865381956973,118,512
0.22339874435403562,119,512
0.22202824346850786,120,512
0.2202474064794637,121,512
0.2191182763252297,122,512
0.2185154804717897,123,512
0.2172677162322517,124,512
0.21569141358355665,125,512
0.21473069523888627,126,512
0.21340800747552285,127,512
0.21220253193290844,128,512
0.2110685259917239,129,512
0.20952777939052047,130,512
0.2079383124306152,131,512
0.2065702010337624,132,512
0.20547597187068992,133,512
0.2043938355116361,134,512
0.20364673763934701,135,512
0.20334343652846526,136,512
0.20242077797433036,137,512
0.20185868392112186,138,512
0.20086258743422578,139,512
0.19945828798670315,140,512
0.1984867626650442,141,512
0.19761200981979635,142,512
0.19689197951807524,143,512
0.19682753978270767,144,512
0.19676520799689573,145,512
0.19719058439624795,146,512
0.19715382945260032,147,512
0.19754896934803373,148,512
0.1977454579118688,149,512
0.19770413548753302,150,512
0.19791281798705124,151,512
0.19792642066577723,152,512
0.19762922092125396,153,512
0.19759254876091095,154,512
0.19698377162837905,155,512
0.19703452162515675,156,512
0.19709514709298576,157,512
0.19799789037014548,158,512
