iter,d1,d2,ldr,dr
1,0.011494207295947422,-4.4447420142413305,1.185816279865131,2.273357707210288
2,-0.07149965446613547,4.2329955770421615,1.0181321679704656,1.7680197365056
3,0.10130891759494293,-3.9121746807592617,0.5881509212652087,0.8006557808824902
4,-0.1948698917457641,4.464464218546824,1.3604582783714427,2.8979792521163326
5,0.22367071640699931,-4.286997740325057,1.0536389396013393,1.8680688811930044
6,-0.2733030304564761,4.590436986322601,1.5885789216105142,3.8967852658241653
7,0.20121423223406246,-4.624480599205948,1.4999628139035766,3.48152241691477
8,-0.2983232769719433,4.176845447354082,1.0567568296021053,1.8770251595690723
9,3.820631581207826,0.9792243676196979,-302.6497071872616,-1.0
10,-4.067254892762524,0.9246604541383873,-342.8880024147182,-1.0
11,1.650840975526242,1.2007510594503106,-55.45075389476827,-1.0
12,3.2008644953246144,0.8296560734022621,-212.02224167890546,-1.0
13,2.0058046178657434,1.0109959428648505,-83.46225038743228,-1.0
14,2.4539503555162265,0.9709544511302344,-125.07630748599159,-1.0
15,2.36432082905857,1.077670181946312,-116.00314069977262,-1.0
16,1.9139852916241555,0.9804055677303709,-75.9290858441615,-1.0
17,2.8498426527315854,0.7806894347441427,-167.586120531606,-1.0
18,1.5647289455459696,1.068913357549386,-50.39014316276421,-1.0
19,-3.2194189043143737,1.0750751775299703,-215.2290094370579,-1.0
20,-2.178568900034941,1.0521562473388122,-98.60978610376272,-1.0
21,3.354042140755182,1.0410618729120993,-233.45199652957317,-1.0
22,-0.33816432606387387,1.045079136222256,-0.8297938856732667,-0.5638608284103892
23,-0.5630925865773654,0.9742148789315596,-5.149442083657997,-0.9941973587877267
24,-0.27858375570649396,2.1284030923537998,0.22597974966937295,0.2535502802135279
25,-2.4349247274879042,0.9557294694736966,-123.24053985514009,-1.0
26,-2.002283451425341,1.1694143313930976,-82.67669320489253,-1.0
27,-2.6569363375729003,0.8325323106114612,-146.13694263464023,-1.0
28,-1.2535882391400737,1.0945581135847535,-31.877964725457424,-0.9999999999999857
29,-2.2039186553737458,0.7992506552115509,-100.03745686564251,-1.0
30,-2.4602548932498784,1.1240300513930834,-125.56258986947287,-1.0
31,-2.5731949168562585,0.8848208801644015,-137.37496569654581,-1.0
32,-2.9398098760751035,1.0982135097460406,-179.4614497111166,-1.0
33,-1.1530808556476724,1.0055415305311521,-26.921458389576845,-0.9999999999979668
