iter,d1,d2,ldr,dr
1,0.5050140600406313,7.552823101668872,1.6857673668794377,4.396590508677737
2,-2.0419489872908225,8.516214281102098,0.5442328412718123,0.723285841367492
3,0.4808494809446078,8.353510412026507,1.5887000791471952,3.8973785842063995
4,-2.564309294076351,4.8047730118514,-15.263887763777532,-0.9999997650487435
5,-0.5941121602057587,8.639825202265397,1.2850520267687284,2.614856021603437
6,1.426951660347858,8.82752941926432,-0.3627087746883886,-0.30421096462509123
7,1.4472260669740649,6.624942329672538,-4.003064364165565,-0.9817404009915927
8,-2.187323714194659,5.967674741181461,-9.295490799551867,-0.9999081625874783
9,2.0743055231281105,5.577293698862581,-10.626679282694571,-0.9999757399424611
10,NaN,NaN,0.0,0.0
11,-3.5941839115687024,-3.985315611323002,-103.19183214298077,-1.0
12,1.4556099089068755,7.539698149299782,-2.5171054500789616,-0.9193071615144952
13,NaN,NaN,0.0,0.0
14,2.2404860779623483,5.044511376757858,-13.615580618316324,-0.9999987786828107
15,2.3502631833370597,5.205963775171463,-13.123897066006586,-0.9999980030650262
16,3.480362459258818,-1.3153078551192003,-69.71815768388603,-1.0
17,NaN,NaN,0.0,0.0
18,NaN,NaN,0.0,0.0
19,-2.5543456018250836,4.080568538732846,-19.722023637249528,-0.9999999972783394
20,NaN,NaN,0.0,0.0
21,NaN,NaN,0.0,0.0
22,1.085788747659468,9.117457838439277,0.31381514920152975,0.3686367195724725
23,-1.0635796782384854,8.985881383528566,0.2791056898005433,0.32194705280684416
24,0.16595784818792933,9.482845788784427,1.6095046143308136,4.000333520606671
25,0.41231083863857476,11.885604733316459,0.644581043713365,0.9051886712739932
26,-0.9995721119408809,8.498869779712557,0.1379747722998812,0.14794658985655654
27,-0.35148598371058365,11.51386521799052,0.743536321025553,1.1033605362148466
28,-1.3061279481873258,8.72067924144831,-0.3788014226243477,-0.31531843856471603
29,0.6575967927279655,10.477872173963757,1.047886452719546,1.8516177155008589
30,-1.238100699258728,8.570895466119199,-0.4300006327670647,-0.34949131689728363
31,2.7393806083475862,3.2969637085720245,-25.234846962315363,-0.9999999999890189
32,-0.29394568719608716,8.847949758283715,1.7695819854334252,4.8683997720130945
33,NaN,NaN,0.0,0.0
34,-0.048180587506750486,11.735280897193096,0.5576655579205458,0.7465904232840547
35,1.3703795654661495,7.921145424372171,-1.622492502600612,-0.8025939497192466
36,-1.070703526696576,9.552209306176106,0.6510175967404295,0.9174910692284128
37,-1.4911486432870236,9.13264332845604,0.197015107217545,0.21776243756900782
38,NaN,NaN,0.0,0.0
39,0.1808239788441444,9.696121761625546,1.5082000397657778,3.51859018747562
40,1.0046258234953902,9.286944544254448,0.5367422708032814,0.7104256724665015
41,-0.7463906401885718,8.268424123226426,0.863963333048817,1.3725452714018747
42,0.269030971921149,9.024027929936677,1.7246648061926977,4.610640062662511
43,0.24833456372090015,8.693994115496738,1.8767937650318793,5.532526434593728
44,1.3429129132266089,8.680678737643676,-0.5055584216287001,-0.3968313410598372
45,NaN,NaN,0.0,0.0
46,NaN,NaN,0.0,0.0
47,0.6620339040187699,8.732194144834871,1.1060845489624045,2.0225007418896235
48,NaN,NaN,0.0,0.0
49,NaN,NaN,0.0,0.0
