tv,Ts,nparticles
0.6373072151014246,1,512
0.611445990905164,2,512
0.5878718532918769,3,512
0.5579061185883867,4,512
0.544826460547475,5,512
0.5240352487926987,6,512
0.5027324810889509,7,512
0.48840586811918185,8,512
0.4739344971034119,9,512
0.4619178266972308,10,512
0.4553806511223224,11,512
0.4437905822323036,12,512
0.433031822293195,13,512
0.4232881316151787,14,512
0.4132855943525311,15,512
0.4033691167662018,16,512
0.3936851158355006,17,512
0.38492998249853694,18,512
0.3765802109903108,19,512
0.3720748676384082,20,512
0.364344617294711,21,512
0.3593632125839722,22,512
0.3511033061328894,23,512
0.3441820867202873,24,512
0.33908957122659517,25,512
0.33339263220554294,26,512
0.32835216505248555,27,512
0.32369293456012843,28,512
0.31866115294745107,29,512
0.31457281430407347,30,512
0.3106017983061052,31,512
0.3073225428602459,32,512
0.30447600261060015,33,512
0.3010216810313857,34,512
0.29725812625502246,35,512
0.2939168806313524,36,512
0.2914655430772383,37,512
0.29002048071168773,38,512
0.2881795980461844,39,512
0.28607427795416457,40,512
0.2844943408327975,41,512
0.2820338631861157,42,512
0.2793550099922198,43,512
0.2777408865275116,44,512
0.2755436320898194,45,512
0.2739461631478791,46,512
0.2733833254538878,47,512
0.2718253664819819,48,512
0.2696534154256065,49,512
0.26610062269862317,50,512
0.2622312903745588,51,512
0.25834507379529453,52,512
0.25579500494925533,53,512
0.25263454956400777,54,512
0.24896543956110617,55,512
0.24575494251107652,56,512
0.2431989264044733,57,512
0.24017739737696295,58,512
0.2376015183663192,59,512
0.23577080174032702,60,512
0.23356020528699162,61,512
0.23154687068503832,62,512
0.2290560358434027,63,512
0.22712891570414662,64,512
0.22469130054379588,65,512
0.22189750634167824,66,512
0.21904222161145212,67,512
0.2164935143214711,68,512
0.21396150977240003,69,512
0.21293859570627052,70,512
0.21067694526862077,71,512
0.2089622482942291,72,512
0.20719163144259076,73,512
0.20612198116875405,74,512
0.20493289564326317,75,512
0.20388575666452194,76,512
0.20263030540275398,77,512
0.20162120854235163,78,512
0.20093206050309173,79,512
0.19953655369181286,80,512
0.19835103171807958,81,512
0.19699225719424301,82,512
0.19627509547080496,83,512
0.19560787119023007,84,512
0.19441109649092084,85,512
0.19333828338467465,86,512
0.19291307282464218,87,512
0.19148728853155336,88,512
0.19058937173985147,89,512
0.1897722006607394,90,512
0.18967123223243346,91,512
0.18914697746189266,92,512
0.18877773820752622,93,512
0.1878610727182438,94,512
0.18704418077227444,95,512
0.1858901905408767,96,512
0.18505390114672934,97,512
0.1837270944233162,98,512
0.1826071496649098,99,512
0.1816589174043195,100,512
0.18069416805018407,101,512
0.17958775280277356,102,512
0.17882459082358723,103,512
0.17810682127757124,104,512
0.17778753823385018,105,512
0.17705857959949084,106,512
0.1765705839798739,107,512
0.17604635002949612,108,512
0.17572759977042857,109,512
0.17479051425201522,110,512
0.17380337410330562,111,512
0.17323698806331841,112,512
0.1725224563568444,113,512
0.1712058351336573,114,512
0.17011218324836475,115,512
0.16880138510258932,116,512
0.16833060230546995,117,512
0.16737954295466917,118,512
0.16652020410068039,119,512
0.16561949477624735,120,512
0.16488777610932784,121,512
0.1645156799246451,122,512
0.16391825058127418,123,512
0.16331263723246708,124,512
0.16354797115492592,125,512
0.16281645552637566,126,512
0.1619125270851388,127,512
0.16089783493512042,128,512
0.15972646054742098,129,512
0.1593737024014341,130,512
0.159302695672075,131,512
0.15842617187413793,132,512
0.15763787169732707,133,512
0.15742560543264386,134,512
0.15737489339141916,135,512
0.15711305795780856,136,512
0.15675617448954315,137,512
0.15561416230287792,138,512
0.1552372488285182,139,512
0.1551061806609752,140,512
0.15429054582219268,141,512
0.15389949880015077,142,512
0.15395942541792673,143,512
0.1534960978159146,144,512
0.15290701655345826,145,512
0.15290834377214313,146,512
0.15267287717808303,147,512
0.15342882004972916,148,512
0.15283157677061915,149,512
0.15266708032113224,150,512
0.1520860199188926,151,512
0.15194806447128803,152,512
0.15153569057157867,153,512
0.1522835129727052,154,512
0.15192714185211875,155,512
0.15147084777911354,156,512
0.15084862302053778,157,512
0.15039379779439913,158,512
0.14999992231076423,159,512
0.14960448788887165,160,512
0.14937799884128752,161,512
0.1488613578060825,162,512
0.1481835440224142,163,512
0.1478513941578078,164,512
0.14736018076936358,165,512
0.14672899791318142,166,512
0.14603655416063532,167,512
0.14535675158137223,168,512
0.14458791659838865,169,512
0.14367515009254825,170,512
0.14302911495725865,171,512
0.14242251776174186,172,512
0.14194735958379198,173,512
0.14145795795466634,174,512
0.14110324453975207,175,512
0.14039353134097798,176,512
0.1400460726894094,177,512
0.13953305582458378,178,512
0.13905316773709517,179,512
0.13879653296464925,180,512
0.1385309014480363,181,512
0.1382629372489082,182,512
0.13798041167277755,183,512
0.1376300177570928,184,512
0.13710291765915186,185,512
0.1367930733156793,186,512
0.13636181805884,187,512
0.1358779437040451,188,512
0.1353147928010634,189,512
0.13477142985474996,190,512
0.13426037624484505,191,512
0.134233023011041,192,512
0.13381529723446614,193,512
0.133500202475219,194,512
0.1331897499422189,195,512
0.13269797489708837,196,512
0.13222391706960537,197,512
0.13148623869277,198,512
0.13094366771980614,199,512
0.13043186645726557,200,512
0.13002656462016451,201,512
0.12954684466932356,202,512
0.1291999267547985,203,512
0.12864446528091694,204,512
0.12837625367198638,205,512
0.12784694642911473,206,512
0.12756532652635327,207,512
0.12724412033580135,208,512
0.1269059619032937,209,512
0.1264326833937549,210,512
0.1259015940153127,211,512
0.12533802321005993,212,512
0.12517486985075668,213,512
0.12469128795309287,214,512
0.12444065339412579,215,512
0.12446035891763824,216,512
0.12417670683820274,217,512
0.12418681013735598,218,512
0.12468402240654776,219,512
0.12472935732849207,220,512
0.12458868046388291,221,512
0.12431771178067223,222,512
0.12396850101528539,223,512
0.12352169978420183,224,512
0.12354249294439108,225,512
0.12329389552645914,226,512
0.12306558885493207,227,512
0.12267708791693346,228,512
0.1223752178199875,229,512
0.12210850033906806,230,512
0.12214234432691277,231,512
0.1222181246790974,232,512
0.12220076871014326,233,512
0.12231138275673821,234,512
0.12223259291063392,235,512
