tv,Ts,nparticles
0.4807581222764985,1,512
0.464713947798492,2,512
0.45441185399555956,3,512
0.4361684653424396,4,512
0.42923276487906964,5,512
0.4171266257961853,6,512
0.40472008401939824,7,512
0.39803665532305954,8,512
0.4016231119857872,9,512
0.3878430269288991,10,512
0.37540532439115915,11,512
0.3658815973233573,12,512
0.3525609647861913,13,512
0.34139025823535113,14,512
0.3302247111350681,15,512
0.3238946579067478,16,512
0.31718824004155793,17,512
0.31297262572844176,18,512
0.3104088524484032,19,512
0.308852982336324,20,512
0.3039300479650507,21,512
0.2984516063402016,22,512
0.2928232315787142,23,512
0.2886594660565652,24,512
0.28541448160601046,25,512
0.2817019714756302,26,512
0.27590995197984824,27,512
0.2700984888130706,28,512
0.2646091397965936,29,512
0.2628849144039057,30,512
0.2605011693174649,31,512
0.2565791357910199,32,512
0.2523224941939303,33,512
0.24798184178744512,34,512
0.24558813722325368,35,512
0.24225013824094369,36,512
0.23864706561245788,37,512
0.23461353999085446,38,512
0.2310594879252536,39,512
0.2280490522072866,40,512
0.22538545271471472,41,512
0.22298556161913713,42,512
0.22012647450795497,43,512
0.21724461873203516,44,512
0.2153559278361772,45,512
0.21315547095245804,46,512
0.2104220480397629,47,512
0.2089417938093442,48,512
0.20706789247237573,49,512
0.20514039925419095,50,512
0.2031198883486792,51,512
0.2001567954767442,52,512
0.19756395919825154,53,512
0.19451770288684647,54,512
0.1919018289504903,55,512
0.18959563203911992,56,512
0.18725370603123642,57,512
0.1848084405948789,58,512
0.18217862384114,59,512
0.17982383937042196,60,512
0.17800758852744317,61,512
0.1762586223798192,62,512
0.1747815697936268,63,512
0.17313607217866325,64,512
0.17134104518308182,65,512
0.17017934820227631,66,512
0.17007866691048415,67,512
0.1693518452120906,68,512
0.16856623695851924,69,512
0.16794375050173324,70,512
0.16700900558757203,71,512
0.1660765493348422,72,512
0.16481382393780844,73,512
0.1641160405768098,74,512
0.16326151309970344,75,512
0.16242452194102264,76,512
0.16132835585975483,77,512
0.1606259035889678,78,512
0.15916093213153243,79,512
0.1585751190297187,80,512
0.15757767312920937,81,512
0.1562050176995156,82,512
0.15512716569895763,83,512
0.15407241696625143,84,512
0.15279821524520537,85,512
0.15187382358580334,86,512
0.1509980932831506,87,512
0.15051671243425965,88,512
0.14985938937497442,89,512
0.1493065001743678,90,512
0.14858286044142757,91,512
0.1484004461740793,92,512
0.14813526792429255,93,512
0.14711489832516275,94,512
0.14615150753380318,95,512
0.14544237888115177,96,512
0.14504153364365613,97,512
0.14466632698310278,98,512
0.14432453496631223,99,512
0.14392094459476718,100,512
0.14336821410891903,101,512
0.14330303636227912,102,512
0.14317780435022834,103,512
0.1425912980836403,104,512
0.14196801638887635,105,512
0.14154612417949025,106,512
0.14106752965252803,107,512
0.14028751041549264,108,512
0.1397432024537465,109,512
0.13888003652487396,110,512
0.13793457082100702,111,512
0.13713796066069123,112,512
0.13677882195785585,113,512
