target,kernel,seed,mcmc,id,Ts,errors
Banana,HMC,1,HMC,1,10,5.623912509872903e-15
Banana,HMC,1,HMC,1,20,8.496859220086318e-13
Banana,HMC,1,HMC,1,50,3.9881260592768273e-13
Banana,HMC,1,HMC,1,100,5.017742039526948e-11
Banana,HMC,1,HMC,1,200,2.815740492649122e-7
Banana,HMC,1,HMC,1,300,6.544537933212455e-7
Banana,HMC,1,HMC,1,400,2.1302992119112543
Banana,HMC,1,HMC,1,500,0.0007128185016315916
Banana,HMC,1,HMC,1,600,2.962976235174199
Banana,HMC,1,HMC,1,700,2.3712185595376987
Banana,HMC,1,HMC,1,800,6.178159106006923
Banana,HMC,1,HMC,1,900,3.1526206968492207
Banana,HMC,1,HMC,1,1000,6.985774643811308
Banana,HMC,1,HMC,1,1100,7.545976367504645
Banana,HMC,1,HMC,1,1200,7.14146744775493
Banana,HMC,10,HMC,10,10,3.482226507408e-14
Banana,HMC,10,HMC,10,20,6.562939712415992e-13
Banana,HMC,10,HMC,10,50,2.677866278165768e-13
Banana,HMC,10,HMC,10,100,5.603417372767252e-7
Banana,HMC,10,HMC,10,200,4.985850894986258e-5
Banana,HMC,10,HMC,10,300,4.492419999981472
Banana,HMC,10,HMC,10,400,3.8632455592681234
Banana,HMC,10,HMC,10,500,2.52023520653535
Banana,HMC,10,HMC,10,600,2.301547298336782
Banana,HMC,10,HMC,10,700,5.805524614580443
Banana,HMC,10,HMC,10,800,3.3092004834349966
Banana,HMC,10,HMC,10,900,1.5072311510959104
Banana,HMC,10,HMC,10,1000,6.5927296679664735
Banana,HMC,10,HMC,10,1100,3.378056757870578
Banana,HMC,10,HMC,10,1200,5.650155732286612
Banana,HMC,11,HMC,11,10,3.0337391136369516e-14
Banana,HMC,11,HMC,11,20,9.837945300966037e-11
Banana,HMC,11,HMC,11,50,8.132924065952301e-14
Banana,HMC,11,HMC,11,100,1.1816561281460446e-5
Banana,HMC,11,HMC,11,200,3.0223260558690728e-6
Banana,HMC,11,HMC,11,300,3.199798056287488
Banana,HMC,11,HMC,11,400,0.016246378138233056
Banana,HMC,11,HMC,11,500,2.1393168505338243
Banana,HMC,11,HMC,11,600,2.4138524180652974
Banana,HMC,11,HMC,11,700,5.3774781049784055
Banana,HMC,11,HMC,11,800,5.189495478694449
Banana,HMC,11,HMC,11,900,3.7822478589812056
Banana,HMC,11,HMC,11,1000,2.5468980400886867
Banana,HMC,11,HMC,11,1100,2.1313552836697056
Banana,HMC,11,HMC,11,1200,5.125433695907153
Banana,HMC,12,HMC,12,10,4.226220074578904e-14
Banana,HMC,12,HMC,12,20,3.1081296754992422
Banana,HMC,12,HMC,12,50,6.868997671811435e-12
Banana,HMC,12,HMC,12,100,6.235827030254066e-9
Banana,HMC,12,HMC,12,200,6.325402739594118e-5
Banana,HMC,12,HMC,12,300,1.9458838763481014
Banana,HMC,12,HMC,12,400,0.9493975904612075
Banana,HMC,12,HMC,12,500,2.0209961481660925
Banana,HMC,12,HMC,12,600,2.4832111105527894
Banana,HMC,12,HMC,12,700,7.209321041912118
Banana,HMC,12,HMC,12,800,4.715173444947473
Banana,HMC,12,HMC,12,900,4.616891803432454
Banana,HMC,12,HMC,12,1000,6.306682596789369
Banana,HMC,12,HMC,12,1100,3.704958962580623
Banana,HMC,12,HMC,12,1200,3.719806302571884
Banana,HMC,13,HMC,13,10,4.183640918457415e-15
Banana,HMC,13,HMC,13,20,2.1112884271283812e-12
Banana,HMC,13,HMC,13,50,1.1744836177911722e-12
Banana,HMC,13,HMC,13,100,8.456783073210482e-11
Banana,HMC,13,HMC,13,200,2.5047866088782396e-6
Banana,HMC,13,HMC,13,300,1.4844190244238118
Banana,HMC,13,HMC,13,400,0.0039007363280002916
Banana,HMC,13,HMC,13,500,5.530872064737979
Banana,HMC,13,HMC,13,600,3.026481463520641
Banana,HMC,13,HMC,13,700,2.706444189949263
Banana,HMC,13,HMC,13,800,4.557359894475287
Banana,HMC,13,HMC,13,900,3.6522745490224646
Banana,HMC,13,HMC,13,1000,4.274856114789804
Banana,HMC,13,HMC,13,1100,5.1834478119188
Banana,HMC,13,HMC,13,1200,1.450809199169833
Banana,HMC,14,HMC,14,10,1.810514727978258e-14
Banana,HMC,14,HMC,14,20,3.5620651021421506e-12
Banana,HMC,14,HMC,14,50,4.733431666508655e-14
Banana,HMC,14,HMC,14,100,3.4037523316640375
Banana,HMC,14,HMC,14,200,0.1983103736168414
Banana,HMC,14,HMC,14,300,2.811678525374784
Banana,HMC,14,HMC,14,400,3.4012698879285175
Banana,HMC,14,HMC,14,500,2.7437767884248645
Banana,HMC,14,HMC,14,600,5.489788100731835
Banana,HMC,14,HMC,14,700,5.79173265065473
Banana,HMC,14,HMC,14,800,2.9325823536491997
Banana,HMC,14,HMC,14,900,8.650664583390654
Banana,HMC,14,HMC,14,1000,3.4209610095230496
Banana,HMC,14,HMC,14,1100,4.379219418989998
Banana,HMC,14,HMC,14,1200,3.4973437942302543
Banana,HMC,15,HMC,15,10,1.0060492458515277e-10
Banana,HMC,15,HMC,15,20,3.9329346647206174e-13
Banana,HMC,15,HMC,15,50,2.279761032232667e-8
Banana,HMC,15,HMC,15,100,5.199246365541907e-12
Banana,HMC,15,HMC,15,200,8.510584857156564e-10
Banana,HMC,15,HMC,15,300,3.5858300577319116e-6
Banana,HMC,15,HMC,15,400,3.579165865389628
Banana,HMC,15,HMC,15,500,1.8513511758399481
Banana,HMC,15,HMC,15,600,2.655360191966872
Banana,HMC,15,HMC,15,700,6.487873173642916
Banana,HMC,15,HMC,15,800,3.70594722240994
Banana,HMC,15,HMC,15,900,2.6226924346397316
Banana,HMC,15,HMC,15,1000,3.787856456410839
Banana,HMC,15,HMC,15,1100,9.940210074194011
Banana,HMC,15,HMC,15,1200,8.371624238831782
Banana,HMC,16,HMC,16,10,4.283292371471678e-14
Banana,HMC,16,HMC,16,20,2.488508801691831e-12
Banana,HMC,16,HMC,16,50,7.915216451085014e-13
Banana,HMC,16,HMC,16,100,3.692870726372586e-10
Banana,HMC,16,HMC,16,200,3.354300457775697
Banana,HMC,16,HMC,16,300,0.47630784634311046
Banana,HMC,16,HMC,16,400,6.448847918997402
Banana,HMC,16,HMC,16,500,4.160809529208946
Banana,HMC,16,HMC,16,600,2.5882462144073783
Banana,HMC,16,HMC,16,700,2.7266409547173254
Banana,HMC,16,HMC,16,800,5.1911565460731985
Banana,HMC,16,HMC,16,900,6.008191731612221
Banana,HMC,16,HMC,16,1000,7.500889602752217
Banana,HMC,16,HMC,16,1100,3.286653424226182
Banana,HMC,16,HMC,16,1200,2.8301399504132587
Banana,HMC,17,HMC,17,10,4.7688311525859044e-14
Banana,HMC,17,HMC,17,20,8.461106952108694e-15
Banana,HMC,17,HMC,17,50,2.3823558360855017e-12
Banana,HMC,17,HMC,17,100,1.7191285689242884e-11
Banana,HMC,17,HMC,17,200,1.7965833680257232e-5
Banana,HMC,17,HMC,17,300,0.0005799793770269511
Banana,HMC,17,HMC,17,400,1.6916265617374477
Banana,HMC,17,HMC,17,500,3.2061694910017846
Banana,HMC,17,HMC,17,600,5.019893414681814
Banana,HMC,17,HMC,17,700,3.4371695271558544
Banana,HMC,17,HMC,17,800,5.695405423339902
Banana,HMC,17,HMC,17,900,4.49660760569567
Banana,HMC,17,HMC,17,1000,4.992009946069545
Banana,HMC,17,HMC,17,1100,3.958415152399713
Banana,HMC,17,HMC,17,1200,7.714621004875239
Banana,HMC,18,HMC,18,10,3.6942952661188813e-14
Banana,HMC,18,HMC,18,20,7.329166508156486e-13
Banana,HMC,18,HMC,18,50,3.832007466474494e-8
Banana,HMC,18,HMC,18,100,2.260051558656988e-9
Banana,HMC,18,HMC,18,200,0.005086484028052524
Banana,HMC,18,HMC,18,300,1.3693464828073454
Banana,HMC,18,HMC,18,400,1.0618820508313098
Banana,HMC,18,HMC,18,500,1.848947998937512
Banana,HMC,18,HMC,18,600,3.50067536327036
Banana,HMC,18,HMC,18,700,5.244174639485555
Banana,HMC,18,HMC,18,800,5.502877901186218
Banana,HMC,18,HMC,18,900,1.3486798434004659
Banana,HMC,18,HMC,18,1000,2.2824711369414907
Banana,HMC,18,HMC,18,1100,6.172720826806892
Banana,HMC,18,HMC,18,1200,4.196060108471605
Banana,HMC,19,HMC,19,10,5.165386041081583e-11
Banana,HMC,19,HMC,19,20,5.323410379544154e-10
Banana,HMC,19,HMC,19,50,6.110581077051508e-11
Banana,HMC,19,HMC,19,100,5.388825017037741e-10
Banana,HMC,19,HMC,19,200,1.037811891891252e-6
Banana,HMC,19,HMC,19,300,0.26107123302551305
Banana,HMC,19,HMC,19,400,2.3396138062348952
Banana,HMC,19,HMC,19,500,2.3766042756817654
Banana,HMC,19,HMC,19,600,7.800056456757283
Banana,HMC,19,HMC,19,700,7.650992560709548
Banana,HMC,19,HMC,19,800,3.035951523726034
Banana,HMC,19,HMC,19,900,2.7882492706031754
Banana,HMC,19,HMC,19,1000,5.983565564138501
Banana,HMC,19,HMC,19,1100,6.506792988849587
Banana,HMC,19,HMC,19,1200,6.909348386040627
Banana,HMC,2,HMC,2,10,7.390283603144807e-15
Banana,HMC,2,HMC,2,20,2.7416664806479062e-14
Banana,HMC,2,HMC,2,50,2.2576029058847968e-11
Banana,HMC,2,HMC,2,100,3.7193175308993345e-10
Banana,HMC,2,HMC,2,200,1.205637795161146e-5
Banana,HMC,2,HMC,2,300,2.9729068021856175
Banana,HMC,2,HMC,2,400,1.7412069835545327
Banana,HMC,2,HMC,2,500,3.616565437416878
Banana,HMC,2,HMC,2,600,3.144077807607209
Banana,HMC,2,HMC,2,700,4.875361525006165
Banana,HMC,2,HMC,2,800,2.425396042916708
Banana,HMC,2,HMC,2,900,3.300314089160824
Banana,HMC,2,HMC,2,1000,5.030563558184369
Banana,HMC,2,HMC,2,1100,4.205792095162037
Banana,HMC,2,HMC,2,1200,15.481528298199569
Banana,HMC,20,HMC,20,10,7.315454963827521e-14
Banana,HMC,20,HMC,20,20,6.791887608532478e-14
Banana,HMC,20,HMC,20,50,1.180742340883466e-9
Banana,HMC,20,HMC,20,100,7.202538374634578e-9
Banana,HMC,20,HMC,20,200,5.000814168264108e-6
Banana,HMC,20,HMC,20,300,3.0901745058682413
Banana,HMC,20,HMC,20,400,6.837888565699911
Banana,HMC,20,HMC,20,500,8.659213674970585
Banana,HMC,20,HMC,20,600,4.559621193450577
Banana,HMC,20,HMC,20,700,3.074642753524792
Banana,HMC,20,HMC,20,800,2.865986482828231
Banana,HMC,20,HMC,20,900,10.243409693924661
Banana,HMC,20,HMC,20,1000,9.944077822351133
Banana,HMC,20,HMC,20,1100,3.1935240461341605
Banana,HMC,20,HMC,20,1200,6.766013523884515
Banana,HMC,21,HMC,21,10,1.9655698548002292e-13
Banana,HMC,21,HMC,21,20,1.6440144837662586e-10
Banana,HMC,21,HMC,21,50,1.8629677987829634e-14
Banana,HMC,21,HMC,21,100,1.0263951136029058e-6
Banana,HMC,21,HMC,21,200,3.280899406345286e-7
Banana,HMC,21,HMC,21,300,0.034789972146139096
Banana,HMC,21,HMC,21,400,2.010144001735811
Banana,HMC,21,HMC,21,500,2.6155897645641875
Banana,HMC,21,HMC,21,600,3.775696897415949
Banana,HMC,21,HMC,21,700,2.408742720795047
Banana,HMC,21,HMC,21,800,3.468416594254249
Banana,HMC,21,HMC,21,900,2.1254051105982423
Banana,HMC,21,HMC,21,1000,2.437317326232216
Banana,HMC,21,HMC,21,1100,3.021152478199852
Banana,HMC,21,HMC,21,1200,5.907912036708665
Banana,HMC,22,HMC,22,10,2.22731733352335e-12
Banana,HMC,22,HMC,22,20,6.686167912219688e-11
Banana,HMC,22,HMC,22,50,1.874168922425171e-12
Banana,HMC,22,HMC,22,100,7.042024189193199e-7
