tv,Ts,nparticles
0.5040414184021155,1,512
0.4840947779758322,2,512
0.46303568688103286,3,512
0.4362781083662693,4,512
0.4239010177650793,5,512
0.4078794672692219,6,512
0.3866394570760889,7,512
0.37246558441616767,8,512
0.3573142483525898,9,512
0.3501008375885402,10,512
0.3432195866643324,11,512
0.3371762689445171,12,512
0.33088557826076903,13,512
0.32709319046376584,14,512
0.3222735063728771,15,512
0.3192979796114839,16,512
0.31560538797282095,17,512
0.3103183145710207,18,512
0.30590252103944643,19,512
0.30229319279172245,20,512
0.2994928444487644,21,512
0.2957205148276267,22,512
0.29096607134543034,23,512
0.2885545379644197,24,512
0.2848024711563032,25,512
0.28296817144882247,26,512
0.27917885847238455,27,512
0.2757374595127995,28,512
0.2722456213762289,29,512
0.26890978522379877,30,512
0.2653856510548829,31,512
0.26292146450226506,32,512
0.25928607834796513,33,512
0.25691880241576726,34,512
0.256250861511996,35,512
0.2544467038622235,36,512
0.2529789013135435,37,512
0.2511267185104696,38,512
0.2500060577948088,39,512
0.2483042045838547,40,512
0.246212268961398,41,512
0.24386940059606785,42,512
0.24143149863229607,43,512
0.23894654978522692,44,512
0.23618963606020027,45,512
0.2337713911541854,46,512
0.23079789095984202,47,512
0.2286514126212052,48,512
0.22708849153560554,49,512
0.22510532422317536,50,512
0.22423949691690362,51,512
0.22206827261736198,52,512
0.22010515473349776,53,512
0.2177568180477428,54,512
0.21635579100458946,55,512
0.21489140214095157,56,512
0.21270617015320425,57,512
0.21013459711320887,58,512
0.20785813283927732,59,512
0.20546278265906223,60,512
0.20446644380890705,61,512
0.20291322109676488,62,512
0.20098261213088336,63,512
0.19974926386071956,64,512
0.1983432115149426,65,512
0.1970607650871814,66,512
0.19554314601170508,67,512
0.1938734412951534,68,512
0.19231719526980387,69,512
0.1904137965562443,70,512
0.18915478277143744,71,512
0.18789205753565816,72,512
0.18675054557848805,73,512
0.18540672152601168,74,512
0.18447632780390474,75,512
0.18417944931239816,76,512
0.1825865665469984,77,512
0.18164686938876357,78,512
0.18037164299069824,79,512
0.17915466556922113,80,512
0.17779131552480204,81,512
0.17729408925816592,82,512
0.17716138471582507,83,512
0.17680948729168403,84,512
0.1762329212482904,85,512
0.17552523224461067,86,512
0.17442684293705005,87,512
0.17369548684571826,88,512
0.1722970465259586,89,512
0.17174858877274107,90,512
0.17119729068072664,91,512
0.170585958802794,92,512
0.17002387418735182,93,512
0.16942291460756279,94,512
