iter,d1,d2,ldr,dr
1,-3.01891063265287,0.5676863313436226,1.279238753915199,2.593902839513817
2,-2.620827113784966,-0.1009152511587012,-0.7945147406873403,-0.5481995779007309
3,-2.8188717160664734,0.41047825081847006,-0.02791936055864319,-0.027533217182403015
4,-3.2461924321742215,0.39683843091884635,-0.27250440146336086,-0.23852992241481755
5,-3.343119539699449,-0.3028085582684661,-1.1039477876724733,-0.6684404301701946
6,-3.598701889652894,-0.15944587678730537,-2.4408423378692676,-0.9129125365108491
7,-3.598701889652894,-0.15944587678730537,-2.4408423378692676,-0.9129125365108491
8,-3.0789492666325655,-0.1412386327656176,-1.548199099831682,-0.7873694443690498
9,-3.21860465095967,0.09308510839881587,-1.9448382735591099,-0.8569896499771361
10,-2.9005618908019954,-0.20252203185778694,-1.0549175475193016,-0.6517788621808004
11,-3.313170525933111,0.024122175842596474,-2.2362064929948757,-0.8931368775631393
12,-3.258404305139905,-0.16577572794028533,-1.7922592630122312,-0.8334166114846779
13,-2.7762168529285676,-0.2508269708578592,-0.7049811781601516,-0.5058821256238835
14,-2.8019769855501995,-0.1768935884438951,-0.9680643136481422,-0.6201824653854269
15,-3.1823679948398684,-0.13374634097869548,-1.7626118536326487,-0.8284039058640182
16,-2.926157484498251,-0.02164604238413286,-1.4343379333320643,-0.7617269355413322
17,-2.537772566450375,-0.06595133727893158,-0.6811303242411118,-0.49395532558847743
18,-2.9423225401018427,-0.5546919923655402,1.1124493340525845,2.04179966113271
19,-2.9423225401018427,-0.5546919923655402,1.1124493340525845,2.04179966113271
20,-3.0396001346306547,0.4147088966798173,-0.08470227760779547,-0.08121421321208926
21,-3.25792006440559,0.19629239224120237,-1.6747240213883003,-0.8126401203329651
22,-3.460227838174779,-0.16965997308424274,-2.135654611178805,-0.8818327885247482
23,-2.9462085830480595,0.28636906990225053,-0.8042460739741353,-0.5525748751216384
24,-2.952892522353003,-0.17482689335627627,-1.2277556570153356,-0.7070506808220386
25,-2.8763261173831447,-0.31559409993448795,-0.5595181104812856,-0.42851561015729434
26,-2.2526072624542692,-0.26473342858732496,0.047745798953755525,0.04890398894107082
27,-2.549551130545673,0.4368395246782458,0.2567847672767112,0.2927668510834759
28,-2.7667348853980727,-0.10033449397689387,-1.0569113038500655,-0.6524724386378562
29,-2.7759468376580823,-0.12165440010353464,-1.0403637918435313,-0.6466738785855178
30,-2.969633006989853,-0.17170455774577928,-1.2656899477936077,-0.7179553670776672
31,-2.969633006989853,-0.17170455774577928,-1.2656899477936077,-0.7179553670776672
32,-2.77715507143808,0.30504034320652273,-0.5206729691304686,-0.4058794114107657
33,-2.470326081410935,-0.02697568356927281,-0.5819475375376006,-0.44119099538975526
34,-2.0236968523961627,-0.2079654003781106,0.27222160093905057,0.31287790405415444
