seed,target,flow_length,nchains,kernel,step_size,logZ,elbo,ess,nparticles
1,Banana,0,10,MF.HMC,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.HMC,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.HMC,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.MALA,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.MALA,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.MALA,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.RWMH,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.RWMH,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,10,MF.RWMH,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.HMC,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.HMC,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.HMC,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.MALA,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.MALA,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.MALA,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.RWMH,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.RWMH,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,1,MF.RWMH,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.HMC,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.HMC,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.HMC,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.MALA,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.MALA,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.MALA,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.RWMH,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.RWMH,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,20,MF.RWMH,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586329,512
1,Banana,0,5,MF.HMC,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.HMC,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.HMC,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.MALA,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.MALA,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.MALA,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.RWMH,0.01,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.RWMH,0.05,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,0,5,MF.RWMH,0.1,-0.9636514049065683,-1.3801429682248156,119.58767237586333,512
1,Banana,100,10,MF.HMC,0.01,-0.330434392963304,-0.5257613484102559,249.51922884560767,512
1,Banana,100,10,MF.HMC,0.05,1.3109729707278204,0.1098510937846748,6.803387008863143,512
1,Banana,100,10,MF.HMC,0.1,4.878879389151202,0.23537571649657277,1.0959087201590383,512
1,Banana,100,10,MF.MALA,0.01,-0.7849925660510797,-0.9510344364503847,289.9315200219123,512
1,Banana,100,10,MF.MALA,0.05,-0.5827858467789433,-0.761310540523606,266.69769112948853,512
1,Banana,100,10,MF.MALA,0.1,-0.5311249678692098,-0.6839379857384004,344.444490707217,512
1,Banana,100,10,MF.RWMH,0.01,-0.3578065890901563,-1.2601465409960957,4.04861893024926,512
1,Banana,100,10,MF.RWMH,0.05,-0.7645611240289503,-1.1011106463464455,49.15559862232839,512
1,Banana,100,10,MF.RWMH,0.1,-0.7744027764455295,-0.9702468305245968,163.61912849666786,512
1,Banana,100,1,MF.HMC,0.01,-0.9427106766949604,-1.2873631882857413,107.82779949829121,512
1,Banana,100,1,MF.HMC,0.05,735.6539947081311,26.675439792384857,1.0,512
1,Banana,100,1,MF.HMC,0.1,2757.6051611490643,73.45194938673924,1.0,512
1,Banana,100,1,MF.MALA,0.01,-0.9426759715115889,-1.2873128819398298,107.83412093083793,512
1,Banana,100,1,MF.MALA,0.05,-0.9426759714721014,-1.287312881851241,107.83412092338702,512
1,Banana,100,1,MF.MALA,0.1,-0.9426759713595789,-1.2873128822349724,107.83412094029903,512
