tv,Ts,nparticles
0.673735302974773,1,512
0.6160731299611804,2,512
0.5802879973232876,3,512
0.5701899877151714,4,512
0.5532833618187257,5,512
0.5316021534566919,6,512
0.5055502326581721,7,512
0.4886770540254872,8,512
0.46530035582742035,9,512
0.44874857864939843,10,512
0.43038864483575023,11,512
0.41618400390637095,12,512
0.405229427813642,13,512
0.3915753852307188,14,512
0.38230806362675246,15,512
0.3728740068251762,16,512
0.36390981109491843,17,512
0.35802800408035845,18,512
0.3498952159934326,19,512
0.34309315564331966,20,512
0.3373084935805086,21,512
0.3322953418874442,22,512
0.3280125046593749,23,512
0.32611519339287737,24,512
0.32307763072360357,25,512
0.32177024718565334,26,512
0.3173631120488812,27,512
0.3118533332157859,28,512
0.3075372136989873,29,512
0.3040920378363307,30,512
0.2996073427189723,31,512
0.29610193853469774,32,512
0.2937645783593292,33,512
0.29048667059287553,34,512
0.2873887218546551,35,512
0.28350165245801595,36,512
0.2789125365542241,37,512
0.2750358422004811,38,512
0.27002195198126056,39,512
0.26623120540536604,40,512
0.2630390714947043,41,512
0.2601732592702332,42,512
0.2573717524365708,43,512
0.2546990244584294,44,512
0.25254351136126424,45,512
0.250605507488316,46,512
0.24905491544426897,47,512
0.24709765539636672,48,512
0.24622785245966847,49,512
0.24346473985440073,50,512
0.24189580531481167,51,512
0.2404033573576884,52,512
0.2394561410754802,53,512
0.23859285208126452,54,512
0.23820278296592373,55,512
0.2362625833366578,56,512
0.23425370276770555,57,512
0.23223054355081882,58,512
0.2307946628086223,59,512
0.22912440493938577,60,512
0.2272142130477876,61,512
0.22565954182323167,62,512
0.22414824815760798,63,512
0.22289427859823147,64,512
0.22161226027076394,65,512
0.22041987890904338,66,512
0.21870774024415968,67,512
0.21738663487899534,68,512
0.21613792756081185,69,512
0.21487710740391136,70,512
0.21328475010571685,71,512
0.21217064450089865,72,512
0.21090984305691454,73,512
0.21076452434575274,74,512
0.21043001952066823,75,512
0.20974860629634953,76,512
0.2085269886635738,77,512
0.20748239966397045,78,512
0.20642890077926646,79,512
0.20506297994781392,80,512
0.20328064135236243,81,512
0.2021748731935731,82,512
0.20080589799407578,83,512
0.19920566336804982,84,512
0.19808989316882522,85,512
0.1968517318862505,86,512
0.19568536236617942,87,512
0.19521773899082007,88,512
0.19456692563741287,89,512
0.19319282472723917,90,512
0.191993782855728,91,512
0.1909034349917681,92,512
0.19024794874481418,93,512
0.18967017583558968,94,512
0.18865605750255873,95,512
0.18794283333665585,96,512
0.18706164262348024,97,512
0.1862459059831334,98,512
0.18558782498865536,99,512
0.18506650638729238,100,512
0.18415923495663772,101,512
0.18340684771995855,102,512
0.18282777498473735,103,512
0.1821616105899921,104,512
0.1813171914082818,105,512
0.1810230318745717,106,512
0.18008525669684747,107,512
0.1794268186953819,108,512
0.1786146517331738,109,512
0.17820188550985427,110,512
0.177673944493729,111,512
0.17656965829737625,112,512
0.17544177870793562,113,512
0.17460519601132746,114,512
0.1736505598246933,115,512
0.17263674345864347,116,512
0.1716090756419014,117,512
0.17074381528145505,118,512
0.16966322472291367,119,512
0.1694631689100005,120,512
0.1693514995514035,121,512
0.1688499050263764,122,512
0.16821092769902243,123,512
0.1674452809571975,124,512
0.16669860149047228,125,512
0.1659131257719828,126,512
0.16545615051943316,127,512
0.1652244438450181,128,512
0.1647171932493585,129,512
0.16389715935652127,130,512
0.16292939321572134,131,512
0.16214631378568087,132,512
0.16170907424676134,133,512
0.16099477447548033,134,512
0.1604095922200062,135,512
0.15994196333640698,136,512
0.15941871740453328,137,512
0.1588558197126224,138,512
0.15885539587867842,139,512
0.1583666269425974,140,512
0.158023708141227,141,512
0.15725218873474545,142,512
0.15663496458015555,143,512
0.1559462974396179,144,512
0.15495062760693043,145,512
0.1541719935338349,146,512
0.153600711619719,147,512
0.1532157541861001,148,512
0.15257028035780215,149,512
0.1517935698337024,150,512
0.1512840226377376,151,512
0.1508749956222773,152,512
