seed,target,flowtype,kernel,step_size,flow_length,nchains,logZ,elbo,ess,nparticles
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,0,1,-0.8783196710156469,-1.2922854948872704,192.04836376454975,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,10,1,-0.9734031657225133,-1.2781428443256864,319.6767052348103,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,100,1,-0.9394793403948283,-1.2663770841272453,221.46190273246359,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,20,1,-0.9698681235833027,-1.31088130031787,258.51608597742523,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,250,1,-0.9747594197600211,-1.184243567806971,470.91310266539705,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.001,50,1,-0.9930098745610234,-1.2638937458970838,384.2141334744512,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,0,1,-0.8783196710156469,-1.2922854948872704,192.04836376454975,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,10,1,-0.8902945638235815,-1.1661665253302351,300.91113178933347,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,100,1,-0.7518612725790135,-0.9789343597337192,258.46777727594747,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,20,1,-0.8434353571215665,-1.1293606252956865,247.51567459775632,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,250,1,-0.6820965297165218,-0.8612420236388737,434.10555484118083,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.005,50,1,-0.7536345176601733,-1.0442496416598313,122.51940742855254,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,0,1,-0.8783196710156469,-1.2922854948872704,192.04836376454975,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,10,1,-0.818632246484869,-1.0774375673544943,134.48640459656292,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,100,1,-0.6023629305875078,-0.8009497126199331,182.04488594298007,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,20,1,-0.7114678668601302,-1.0010269310143107,168.36437601104436,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,250,1,5.693912103409095,-0.591810940486688,1.004681919255956,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.01,50,1,-0.7302730248633518,-0.904023557921945,500.10030118313244,1024
1,Banana,MF.BackwardIRFMixFlow,MF.HMC,0.05,0,1,-0.8783196710156469,-1.2922854948872704,192.04836376454975,1024
