seed,tracetype,target,kernel,iter,d1,d2,ldr,dr
1,mcmc,Banana,MF.RWMH,1,-1.5451691326365744,10.410904156177171,2.718503920893732,14.157628262246394
1,mcmc,Banana,MF.RWMH,2,-1.168642950673694,10.497739126751124,1.4538866663616985,3.27971606038585
1,mcmc,Banana,MF.RWMH,3,-0.9455723022164906,11.159462789499576,1.4130688028173037,3.1085443902330576
1,mcmc,Banana,MF.RWMH,4,-0.07566791474813572,11.080781572811654,0.8830704989811342,1.4183137480881367
1,mcmc,Banana,MF.RWMH,5,0.15717730238014604,11.250478906170061,0.8033938689646409,1.233106954567416
1,mcmc,Banana,MF.RWMH,6,-0.4835443199107239,10.972209940029579,0.9655661636710602,1.6262741366457472
1,mcmc,Banana,MF.RWMH,7,-0.3134025877276586,10.66692462522474,1.0619124223194256,1.8918962311839744
1,mcmc,Banana,MF.RWMH,8,-0.5667327560123439,9.615261326977507,1.2083338015054639,2.3479017338864483
1,mcmc,Banana,MF.RWMH,9,-0.5667327560123439,9.615261326977507,1.2083338015054639,2.3479017338864483
1,mcmc,Banana,MF.RWMH,10,-0.5667327560123439,9.615261326977507,1.2083338015054639,2.3479017338864483
1,mcmc,Banana,MF.RWMH,11,-0.7575740666314419,9.149750771438729,0.9296288920539442,1.5335687756288074
1,mcmc,Banana,MF.RWMH,12,-0.6747852154975117,9.63659587727413,1.0781762763903946,1.939314163424673
1,mcmc,Banana,MF.RWMH,13,0.17951251321311223,9.041418413974442,1.7943481823045573,5.015552400124518
1,mcmc,Banana,MF.RWMH,14,0.25795448897177486,8.675011119382669,1.8733286330557175,5.509929541578702
1,mcmc,Banana,MF.RWMH,15,0.9136121510802314,9.40756968151472,0.716124577928257,1.0464868225837716
1,mcmc,Banana,MF.RWMH,16,0.9522876497698499,9.182445417188159,0.5662987772516805,0.7617343980580988
1,mcmc,Banana,MF.RWMH,17,0.9522876497698499,9.182445417188159,0.5662987772516805,0.7617343980580988
1,mcmc,Banana,MF.RWMH,18,1.0715480291486321,8.56546780938198,-0.04421089235468978,-0.04324783552132674
1,mcmc,Banana,MF.RWMH,19,0.8604347802953999,9.317381659904914,0.7659618100670667,1.151062293391947
1,mcmc,Banana,MF.RWMH,20,0.008965248819057803,10.026030791698254,1.3941436859859864,3.031520846307639
1,mcmc,Banana,MF.RWMH,21,-0.9799686669692401,10.787920966414188,1.3128289739117451,2.7166732253764727
1,mcmc,Banana,MF.RWMH,22,-0.9799686669692401,10.787920966414188,1.3128289739117451,2.7166732253764727
1,mcmc,Banana,MF.RWMH,23,-0.9799686669692401,10.787920966414188,1.3128289739117451,2.7166732253764727
1,mcmc,Banana,MF.RWMH,24,-0.24696211111132882,10.367722735495533,1.1969213477034395,2.3099111552132663
1,mcmc,Banana,MF.RWMH,25,-0.24696211111132882,10.367722735495533,1.1969213477034395,2.3099111552132663
1,mcmc,Banana,MF.RWMH,26,-0.446571578438798,11.398835987209155,0.8317778403027627,1.2973995211612293
1,mcmc,Banana,MF.RWMH,27,-0.446571578438798,11.398835987209155,0.8317778403027627,1.2973995211612293
1,mcmc,Banana,MF.RWMH,28,-0.3407195756351139,11.67758062310881,0.6754823550129747,0.9649805656403951
1,mcmc,Banana,MF.RWMH,29,-0.19946265434069008,11.39282225627474,0.7460845449107656,1.108727204604717
1,mcmc,Banana,MF.RWMH,30,0.18128594033198672,11.153106357369834,0.8506807086817343,1.3412400120277277
1,mcmc,Banana,MF.RWMH,31,0.18128594033198672,11.153106357369834,0.8506807086817343,1.3412400120277277
1,mcmc,Banana,MF.RWMH,32,0.059457750663945805,11.211006035881708,0.817654598606977,1.2651808440762036
1,mcmc,Banana,MF.RWMH,33,0.1758406178028844,11.405832341452776,0.7326220331987252,1.0805286773058809
1,mcmc,Banana,MF.RWMH,34,0.5060546160815447,11.43374434490221,0.8514301813458949,1.342995365129398
1,mcmc,Banana,MF.RWMH,35,0.5060546160815447,11.43374434490221,0.8514301813458949,1.342995365129398
1,mcmc,Banana,MF.RWMH,36,-0.4852089000819627,11.49678962091852,0.8292587926083592,1.2916195452682493
1,mcmc,Banana,MF.RWMH,37,-0.4852089000819627,11.49678962091852,0.8292587926083592,1.2916195452682493
1,mcmc,Banana,MF.RWMH,38,-0.4852089000819627,11.49678962091852,0.8292587926083592,1.2916195452682493
1,mcmc,Banana,MF.RWMH,39,0.0786290647469553,10.864381803062376,0.9868823156626112,1.6828571185445755
1,mcmc,Banana,MF.RWMH,40,0.5649210681964443,10.43737881125,1.0695496990283617,1.914066997288259
1,mcmc,Banana,MF.RWMH,41,0.5649210681964443,10.43737881125,1.0695496990283617,1.914066997288259
1,mcmc,Banana,MF.RWMH,42,1.250593866216038,9.97992376533933,1.0664964864577642,1.9051833001097545
1,mcmc,Banana,MF.RWMH,43,1.250593866216038,9.97992376533933,1.0664964864577642,1.9051833001097545
1,mcmc,Banana,MF.RWMH,44,0.6640545784256661,10.847242296950974,1.0300852342781037,1.8013045916984163
1,mcmc,Banana,MF.RWMH,45,0.02713716551308165,9.903339382252215,1.4518122783501615,3.2708474703260446
1,mcmc,Banana,MF.RWMH,46,-0.48677069774413684,9.416050569944641,1.345466578666307,2.8399777744003387
1,mcmc,Banana,MF.RWMH,47,-0.48677069774413684,9.416050569944641,1.345466578666307,2.8399777744003387
1,mcmc,Banana,MF.RWMH,48,0.41729956383012745,9.025906854361187,1.5364480502016713,3.648051270753555
1,mcmc,Banana,MF.RWMH,49,-0.22360166067560927,9.793370804903287,1.449159758783558,3.2595339751120838
1,mcmc,Banana,MF.RWMH,50,-0.8794805615506184,9.838364498802136,0.9090764944149354,1.4820293067169357
1,mcmc,Banana,MF.RWMH,51,-0.4327835307549558,9.978215426955618,1.251267447027924,2.494769586936311
1,mcmc,Banana,MF.RWMH,52,-0.2712399818895478,9.572106797802247,1.5114958997048247,3.533507396868492
1,mcmc,Banana,MF.RWMH,53,-0.1535934986083652,9.495991163794228,1.6123305801314889,4.014484277487951
1,mcmc,Banana,MF.RWMH,54,0.13510463520051885,10.135458981892,1.3254541529291801,2.763894350542294
1,mcmc,Banana,MF.RWMH,55,-0.49660043163859524,9.106954631350346,1.4008441760066979,3.058624714700649
1,mcmc,Banana,MF.RWMH,56,-1.0506673190770424,9.554605522080072,0.6651468357385761,0.9447760630020334
1,mcmc,Banana,MF.RWMH,57,-1.0506673190770424,9.554605522080072,0.6651468357385761,0.9447760630020334
1,mcmc,Banana,MF.RWMH,58,-0.3312110362353061,9.517359790829818,1.484319736845495,3.411963095778446
1,mcmc,Banana,MF.RWMH,59,0.4142849619304274,8.996161416565435,1.5496055258091523,3.7096119957302363
1,mcmc,Banana,MF.RWMH,60,0.44983094437634585,9.294287456840138,1.4158214628705093,3.1198693960475015
1,mcmc,Banana,MF.RWMH,61,0.4059303298253756,9.396661108539577,1.441546059670169,3.227226311545566
1,mcmc,Banana,MF.RWMH,62,0.15383327500205818,9.093211524048781,1.7881200647631557,4.978203260844133
1,mcmc,Banana,MF.RWMH,63,0.173370727849045,9.057670142368515,1.7914877156853268,4.9983697002735274
1,mcmc,Banana,MF.RWMH,64,0.5251193041932596,8.67617938473202,1.4246210329817854,3.156282450296924
