iter,d1,d2,ldr,dr
1,-0.6133002484072541,8.668924372466314,1.237116137770082,2.4456623073905943
2,-1.232851416859899,9.681619587330804,0.7533540396968568,1.124112439713703
3,-0.4536839909669451,8.683233893616931,1.575823569114719,3.834721706422083
4,-0.1936406638418563,11.39645799253992,0.7433193312433439,1.1029041779845135
5,-2.409104081526552,5.403474803523854,-12.045613550826934,-0.9999941297512634
6,-1.5888379398513064,7.74666724701494,-2.5118514476464964,-0.9188820854472997
7,0.30527753880030417,7.610731136574282,2.1936065470472994,7.967496562067401
8,-1.6370485200854328,7.528172787334921,-3.098137459195304,-0.9548668134410765
9,3.258946754528895,-0.7430523025653568,-62.43525768973392,-1.0
10,-1.856541661734184,8.552965503393445,-0.3204279938796466,-0.2741616837718347
11,-1.4109139413687284,9.48706229429399,0.6752737901516439,0.9645707824758745
12,3.941550720019315,-5.888953879018172,-134.2746463207403,-1.0
13,-4.790231640689264,-13.339732874298187,-286.1778971713629,-1.0
14,0.8983689673795279,9.49489310402846,0.7664450251982702,1.1521019704138795
15,0.3806867969370482,9.764901245512865,1.3498448317484582,2.856827027157498
16,-0.6560563148660944,10.053247234389547,1.0816582117835747,1.9495665040776966
17,2.1864835579486392,6.441687623664169,-7.267870568348601,-0.9993024041039541
18,-2.428638383967952,2.89012117287183,-25.86100198887484,-0.999999999994129
19,-2.1874871041674053,6.775753728970256,-5.771526366623632,-0.996885000747229
20,2.243703252042225,5.688959403728218,-10.648055191767327,-0.9999762530199597
21,-0.06668590826709139,8.791629505650073,1.964078152152097,6.128338317047556
22,-0.26583354852615176,11.181452110563937,0.8512564789136596,1.3425884164807673
23,1.7061037364023313,8.504680057042355,-0.87493526559558,-0.5831109941334645
24,-0.31335774185037013,10.380136122899243,1.1729848411874295,2.2316241419648413
25,NaN,NaN,0.0,0.0
26,0.4012536439754556,8.734749346630178,1.6474222998022658,4.193575078383904
27,NaN,NaN,0.0,0.0
28,2.2116063395741508,4.7336006346319115,-14.885257995607889,-0.9999996569048406
29,0.38254219256839905,10.600067628347905,1.0693020370696833,1.9133453831098692
30,NaN,NaN,0.0,0.0
31,2.5006947050324166,4.335761956512808,-18.133922440237768,-0.9999999866789779
32,NaN,NaN,0.0,0.0
33,-3.4605035259095915,-0.912937222143144,-64.92857651606373,-1.0
34,NaN,NaN,0.0,0.0
35,1.954178139169513,7.061907426916806,-4.9358302432376915,-0.9928155064081593
36,-0.36628427381687756,10.79611878751995,1.0095877557340862,1.744469390010975
