iter,d1,d2,ldr,dr
1,-2.9371389098449074,0.33482566885284476,-0.5459997261133154,-0.4207376099669841
2,-2.9371389098449074,0.33482566885284476,-0.5459997261133154,-0.4207376099669841
3,-2.9371389098449074,0.33482566885284476,-0.5459997261133154,-0.4207376099669841
4,-1.6318716265908204,-0.39338215776766744,0.9489846558839812,1.583085606611197
5,-1.6318716265908204,-0.39338215776766744,0.9489846558839812,1.583085606611197
6,-1.6318716265908204,-0.39338215776766744,0.9489846558839812,1.583085606611197
7,-1.6318716265908204,-0.39338215776766744,0.9489846558839812,1.583085606611197
8,-0.30319962390309785,0.13297927953013206,2.063716178946378,6.875181081680024
9,-0.30319962390309785,0.13297927953013206,2.063716178946378,6.875181081680024
10,1.0972112811434527,-1.5129886738384062,0.37784826682454753,0.45914152590091156
11,0.04374109070940424,-0.32539643812138275,2.231891633665096,8.317474668489599
12,0.9042074818978272,0.7658903968087465,1.9775409626564593,6.224954689695864
13,1.9846864333540255,-1.4958973892352208,0.028928362910051852,0.02935085213423646
14,2.61783417995115,0.20015334988124467,1.9824673042267236,6.260635099108903
15,2.9077451366489013,0.794385590409535,1.0613486900079403,1.8902664352644654
16,3.422645651434066,0.504856960343849,0.9807834902209471,1.6665446353501905
17,3.422645651434066,0.504856960343849,0.9807834902209471,1.6665446353501905
18,3.097433313326169,1.346718806751858,-0.47487438300255125,-0.37803681929466504
19,3.097433313326169,1.346718806751858,-0.47487438300255125,-0.37803681929466504
20,3.5486439476577387,1.8846273835461484,-2.975505024202274,-0.9489783396767676
21,4.605229952451405,1.2030552341206204,-2.0878770061392355,-0.8760499982198671
22,3.2972642987581056,3.311880281378045,-11.154792987768376,-0.9999856934486289
23,3.2972642987581056,3.311880281378045,-11.154792987768376,-0.9999856934486289
24,4.384281968428872,5.35442092480388,-33.12366045928133,-0.9999999999999959
25,4.384281968428872,5.35442092480388,-33.12366045928133,-0.9999999999999959
26,4.384281968428872,5.35442092480388,-33.12366045928133,-0.9999999999999959
27,4.384281968428872,5.35442092480388,-33.12366045928133,-0.9999999999999959
28,5.235932796308776,6.316918919757852,-47.72803356822399,-1.0
29,4.004968821290519,6.931399074500803,-54.71129517952248,-1.0
30,4.138624792502399,5.924264564593889,-40.083973401682215,-1.0
31,4.746250963354123,5.557182005763641,-36.3372080869432,-0.9999999999999999
