tv,Ts,nparticles
0.9280462147831627,1,512
0.7786396407161711,2,512
0.720348747975048,3,512
0.6551304433190808,4,512
0.6143358311234158,5,512
0.5711010383236245,6,512
0.5502096297087972,7,512
0.5362205681708963,8,512
0.5113047777993182,9,512
0.4970733439734172,10,512
0.4760144243974708,11,512
0.4665651345494649,12,512
0.4516359311588522,13,512
0.44291033658400875,14,512
0.43567441116371575,15,512
0.427884756055794,16,512
0.4235578732034213,17,512
0.4230029065302792,18,512
0.42012167482166046,19,512
0.4154224611822831,20,512
0.4137523468273602,21,512
0.4083890289936226,22,512
0.4051641371447773,23,512
0.4090748918446336,24,512
0.40257447260411494,25,512
0.395759164199886,26,512
0.3916303282855854,27,512
0.3921641457488256,28,512
0.3887381251219394,29,512
0.38732033618689554,30,512
0.38472529590994736,31,512
0.382566557488403,32,512
0.37934925484026477,33,512
0.3762517211916661,34,512
0.37268073345731373,35,512
0.3702823408723294,36,512
0.3694466005159888,37,512
0.36686697512562016,38,512
0.36444061705513797,39,512
0.36134644643774894,40,512
0.36198863349405985,41,512
0.36199065900937205,42,512
0.36071918321575624,43,512
0.3601497043244319,44,512
0.35786756442099804,45,512
0.3593139524548287,46,512
0.3595990484152348,47,512
0.3586150983454333,48,512
0.35877299568713894,49,512
0.3586409468409635,50,512
0.35729828838022604,51,512
0.35744186842382725,52,512
0.3548409753489907,53,512
0.35459588665688696,54,512
0.3545821314021673,55,512
0.35345735103569337,56,512
0.3517727778286663,57,512
0.3494209573910094,58,512
0.3486541608774251,59,512
0.34668923006746155,60,512
0.3461226685552302,61,512
0.34513744612678543,62,512
0.3431757819393544,63,512
0.3420862981899532,64,512
0.34104808500428235,65,512
0.3408542722765319,66,512
0.3403510643832209,67,512
0.340434619705572,68,512
0.341736964760016,69,512
0.34118631180085507,70,512
0.34113366913756243,71,512
0.341574016145729,72,512
0.341330538389129,73,512
0.3404002797113613,74,512
0.33922533482450923,75,512
0.3385301129930561,76,512
0.33819442530676624,77,512
0.33706394467176615,78,512
0.3365457905374981,79,512
0.33542128788956627,80,512
0.3344121306189043,81,512
0.333094100102788,82,512
0.3316211606067459,83,512
0.32968883878155625,84,512
0.32777589697619847,85,512
0.3267070850012597,86,512
0.3256276901307227,87,512
0.32410593346332994,88,512
0.3228202447540299,89,512
0.3220424486775336,90,512
0.32250316750196145,91,512
0.3213460843288903,92,512
0.3203346894007249,93,512
0.3194121274246312,94,512
0.31776950509790475,95,512
0.3169446580190976,96,512
0.3165286035532956,97,512
0.31551325623948107,98,512
0.31438154031338883,99,512
0.31387582336131487,100,512
0.31328029706819194,101,512
0.31288899108056245,102,512
0.31211582410904865,103,512
0.3110576114915944,104,512
0.31011979355570224,105,512
0.30890656693943797,106,512
0.30786672852313457,107,512
0.3076048112264371,108,512
0.3073417655924174,109,512
0.3063637254680569,110,512
0.3045085745560926,111,512
0.3029030606252559,112,512
0.3021369794353956,113,512
0.3004894777138739,114,512
0.2999861506949656,115,512
0.2990300447523376,116,512
