iter,d1,d2,ldr,dr
1,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
2,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
3,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
4,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
5,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
6,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
7,-0.08038106452385325,-2.1496123645353835,0.0791451622456294,0.08236142868263473
8,-0.1421039725414628,-1.8150286068116341,0.26617626109795633,0.3049650529898429
9,-0.1421039725414628,-1.8150286068116341,0.26617626109795633,0.3049650529898429
10,-0.1421039725414628,-1.8150286068116341,0.26617626109795633,0.3049650529898429
11,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
12,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
13,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
14,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
15,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
16,-0.17048629812240473,-2.128422090470837,0.11517312495575949,0.12206767867469175
17,0.32371683045885286,-1.282842372795085,0.8320976944054412,1.298134471355716
18,0.29389270777100396,-1.7159591762595072,0.4321002499125006,0.5404895413621208
19,0.29389270777100396,-1.7159591762595072,0.4321002499125006,0.5404895413621208
20,0.29389270777100396,-1.7159591762595072,0.4321002499125006,0.5404895413621208
21,0.29389270777100396,-1.7159591762595072,0.4321002499125006,0.5404895413621208
22,-0.2383050921327985,-1.8342131678504505,0.3003347163419301,0.3503107030023701
23,-0.26668741771374044,-2.147606651509652,0.16111298848947353,0.1748177021926359
24,-0.26668741771374044,-2.147606651509652,0.16111298848947353,0.1748177021926359
25,-0.26668741771374044,-2.147606651509652,0.16111298848947353,0.1748177021926359
26,-0.2965115404015896,-2.5807234549740743,0.08684579225388633,0.09072846797016612
27,-0.2965115404015896,-2.5807234549740743,0.08684579225388633,0.09072846797016612
28,-0.2965115404015896,-2.5807234549740743,0.08684579225388633,0.09072846797016612
29,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
30,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
31,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
32,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
33,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
34,0.19769158817966814,-1.7351437372983245,0.35321802934477686,0.42364150522296457
35,0.1693092625987262,-2.0485372209575248,0.1577830920373564,0.17091218698360325
36,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
37,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
38,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
39,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
40,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
41,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
42,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
43,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
44,0.10758635458111723,-1.7139534632337754,0.3291431980314148,0.3897768546488252
45,0.04441944732832501,-1.4953910276580702,0.4873699685593571,0.6280288174488737
46,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
47,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
48,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
49,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
50,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
51,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
52,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
53,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
54,0.014595324640475835,-1.9285078311224924,0.17646584676295607,0.19299368146781476
55,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
56,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
57,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
58,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
59,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
60,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
61,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
62,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
63,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
64,-0.013787000940466105,-2.2419013147816913,0.04036785247669927,0.0411937094409719
65,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
66,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
67,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
68,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
69,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
70,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
71,-0.07695390819325833,-2.023338879205987,0.13292990847133512,0.1421699390881639
72,0.22061632542707288,-1.2758256026078951,0.761887315199858,1.1423156323319164
73,-1.0841892584812354,0.8759322746129106,-23.272562696828352,-0.9999999999218634
74,-0.32638912183978264,1.1816126129838114,-0.21996893460638933,-0.19745627108793998
75,-0.8602480988557653,0.9499686936453257,-14.260114178704583,-0.9999993589216641
76,-0.8602480988557653,0.9499686936453257,-14.260114178704583,-0.9999993589216641
77,-0.8602480988557653,0.9499686936453257,-14.260114178704583,-0.9999993589216641
78,-0.8602480988557653,0.9499686936453257,-14.260114178704583,-0.9999993589216641
79,-0.8602480988557653,0.9499686936453257,-14.260114178704583,-0.9999993589216641
80,-1.1074329989475789,1.0959229941514868,-24.545027842324725,-0.9999999999781108
81,0.07446893147634248,1.833749141079011,0.2827983924148805,0.3268376343189761
82,0.07446893147634248,1.833749141079011,0.2827983924148805,0.3268376343189761
83,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
84,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
85,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
86,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
87,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
88,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
89,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
90,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
91,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
92,0.10285125705728443,2.1471426247382084,0.13978564489776124,0.15002725822403598
93,-0.01731930396144396,1.7360062667455707,0.3353969157784964,0.39849535995058627
94,-0.41207660057278617,0.8613199525170223,-1.5333493810879046,-0.7841883799210121
95,-0.41207660057278617,0.8613199525170223,-1.5333493810879046,-0.7841883799210121
96,-0.41207660057278617,0.8613199525170223,-1.5333493810879046,-0.7841883799210121
97,-0.8431042186088682,0.7227927539191139,-11.936551356439251,-0.9999934533124674
98,-0.9968954933016924,0.9619956180147301,-19.724828872533518,-0.9999999972859637
99,-0.9968954933016924,0.9619956180147301,-19.724828872533518,-0.9999999972859637
100,-0.9968954933016924,0.9619956180147301,-19.724828872533518,-0.9999999972859637
101,-0.9968954933016924,0.9619956180147301,-19.724828872533518,-0.9999999972859637
102,-0.9968954933016924,0.9619956180147301,-19.724828872533518,-0.9999999972859637
103,0.017794136534124205,1.5844710626593055,0.4462362833815665,0.562420596944411
104,0.017794136534124205,1.5844710626593055,0.4462362833815665,0.562420596944411
105,0.137964697552853,1.9956074206519434,0.21548285602432715,0.2404607163124755
106,0.137964697552853,1.9956074206519434,0.21548285602432715,0.2404607163124755
107,0.137964697552853,1.9956074206519434,0.21548285602432715,0.2404607163124755
108,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
109,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
110,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
111,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
112,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
113,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
114,0.19968760557046367,1.6610236629281947,0.4460040630446458,0.5620578132314851
115,-0.013297148133236042,1.1480408858180975,0.6402459253307025,0.8969473293459548
116,-0.013297148133236042,1.1480408858180975,0.6402459253307025,0.8969473293459548
117,-0.013297148133236042,1.1480408858180975,0.6402459253307025,0.8969473293459548
118,-0.013297148133236042,1.1480408858180975,0.6402459253307025,0.8969473293459548
119,-0.3458690288354759,1.1014420482016758,-0.7935546601246157,-0.5477656048060109
120,-0.3458690288354759,1.1014420482016758,-0.7935546601246157,-0.5477656048060109
121,-0.3458690288354759,1.1014420482016758,-0.7935546601246157,-0.5477656048060109
122,-0.3458690288354759,1.1014420482016758,-0.7935546601246157,-0.5477656048060109
123,-0.3458690288354759,1.1014420482016758,-0.7935546601246157,-0.5477656048060109
124,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
125,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
126,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
127,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
128,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
129,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
130,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
131,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
132,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
133,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
134,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
135,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
136,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
137,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
138,-0.04829879521514624,1.8489553247997668,0.2663292515547613,0.30516471546225127
139,0.09573239754273383,1.7121044574385957,0.3663647185547154,0.442481246402414
140,0.1574553055603442,1.3775206997148464,0.6352978769252946,0.887584325538874
141,0.1574553055603442,1.3775206997148464,0.6352978769252946,0.887584325538874
142,0.1574553055603442,1.3775206997148464,0.6352978769252946,0.887584325538874
143,-0.5875439581807613,0.9645767109298968,-5.747872077843857,-0.9968104392827017
144,-0.5875439581807613,0.9645767109298968,-5.747872077843857,-0.9968104392827017
145,-0.5875439581807613,0.9645767109298968,-5.747872077843857,-0.9968104392827017
146,-0.19278666156941882,1.8392630251584434,0.31464068320511984,0.3697670422187378
147,-0.04875546881153875,1.7024121577972724,0.36027685986390656,0.43372630088540054
148,-0.04875546881153875,1.7024121577972724,0.36027685986390656,0.43372630088540054
149,-0.04875546881153875,1.7024121577972724,0.36027685986390656,0.43372630088540054
150,-0.04875546881153875,1.7024121577972724,0.36027685986390656,0.43372630088540054
151,-0.04875546881153875,1.7024121577972724,0.36027685986390656,0.43372630088540054
152,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
153,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
154,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
155,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
156,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
157,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
158,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
159,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
160,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
161,0.012967439206071914,1.3678284000735244,0.6160972300861767,0.8516872122494031
162,-0.14082383548675226,1.607031264169139,0.45064549378707164,0.5693248480606288
163,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
164,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
165,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
166,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
167,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
168,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
169,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
170,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
171,0.0721609182169472,2.1200140412792363,0.14194259663576525,0.15251048865875852
172,0.13388382623455786,1.7854302835554887,0.3305612433523992,0.3917490191936473
173,-0.17379113828448617,1.1649690748004904,0.517335191195498,0.6775513345195397
174,-0.17379113828448617,1.1649690748004904,0.517335191195498,0.6775513345195397
175,-0.17379113828448617,1.1649690748004904,0.517335191195498,0.6775513345195397
176,-0.8147031926398918,0.9539305731772122,-12.627776274736327,-0.999996720357957
177,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
178,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
179,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
180,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
181,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
182,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
183,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
184,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
185,-1.0519482861295637,0.9988671546129546,-22.173240496345446,-0.9999999997654238
186,-0.5197504862257594,1.1171211462039008,-3.8717825957565593,-0.9791787794950204
187,-0.375719293467877,0.9802702788427298,-1.367934785322042,-0.7453677127540437
188,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
189,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
190,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
191,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
192,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
193,0.12011287051186037,1.9981493565704844,0.20767958323006197,0.23081873139764952
194,0.09028874782401286,1.5650325531060654,0.47373499990559265,0.605981345424265
195,0.09028874782401286,1.5650325531060654,0.47373499990559265,0.605981345424265
196,0.09028874782401286,1.5650325531060654,0.47373499990559265,0.605981345424265
197,-0.14695634566566015,1.609969134541808,0.45059391697743956,0.5692439093789868
198,-0.14695634566566015,1.609969134541808,0.45059391697743956,0.5692439093789868
199,-0.14695634566566015,1.609969134541808,0.45059391697743956,0.5692439093789868
200,-0.14695634566566015,1.609969134541808,0.45059391697743956,0.5692439093789868
