seed,target,flowtype,kernel,step_size,flow_length,nchains,logZ,elbo,ess,nparticles
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,10,1,-0.971636809470815,-1.1801657036182538,181.76199275344666,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,100,1,-0.5233976054207252,-0.712163176703141,223.82256084501194,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,20,1,-0.9542961485552599,-1.1083477652725011,243.02380066787833,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,200,1,-0.35626955593180387,-0.5166414442297892,297.91671013607714,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.005,50,1,-0.7618678355242983,-0.9191596432785055,249.88109831625314,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,10,1,-0.8334043249837135,-1.047312757406999,149.05375899976363,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,100,1,-0.41916855494392014,-0.6046161384900169,227.68541194743128,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,20,1,-0.7224734944848761,-0.9387626997379068,155.19206713599152,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,200,1,-0.3052874218593793,-0.4521425442676626,334.9515271963646,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.01,50,1,-0.5429206223358074,-0.7540014318395329,119.97757515121654,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,10,1,0.10373802139875021,-0.6179279198043136,5.892738194443725,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,100,1,0.001158943957942249,-0.09968684035926786,383.0016879926925,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,20,1,-0.25979662163893114,-0.4436211846680533,309.094491466333,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,200,1,0.08629994959810983,0.00855920391986976,403.32792632537604,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.05,50,1,-0.14868021218418814,-0.2594339270897075,401.08255418539375,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,10,1,0.20183830684586557,-0.4224131182468442,7.783628049785,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,100,1,0.06355436339580134,-0.006008125563922873,440.1735346131383,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,20,1,-0.10178656176486012,-0.2719134061924826,317.3992400028626,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,200,1,0.047776777883129284,0.008807103831055188,467.65232938397304,512
1,Banana,MF.DeterministicMixFlow,MF.HMC,0.1,50,1,0.003266084505140654,-0.08175832455035338,430.2221140960173,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,10,1,-0.9663397559867191,-1.2939476787837825,81.08700440194535,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,100,1,-0.9568201750911376,-1.094378182917535,287.00923961359166,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,20,1,-1.014558360517536,-1.2666695849218483,167.43021345124404,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,200,1,-0.7804807461924899,-0.927658190799325,302.5653401721636,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.005,50,1,-1.0593367170324157,-1.2008147182941855,325.447261669624,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,10,1,-0.9855830586205032,-1.2748493292742862,102.96965118754291,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,100,1,-0.865364543824847,-1.0255634273662813,240.97514840218693,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,20,1,-1.0354848715245426,-1.2337975461376123,251.7252919599688,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,200,1,-0.6693095599881413,-0.8316758891796324,263.91561270710463,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.01,50,1,-1.000581387265643,-1.1488762466153244,252.64490872516768,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,10,1,-1.0165471240834805,-1.2082907190683527,203.28595895672137,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,100,1,-0.7226551511167374,-0.8266094723062136,367.58313422456746,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,20,1,-0.9894510807269112,-1.1381016230381689,247.63031881098337,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,200,1,-0.568961239831153,-0.6869684181603231,332.0000570683163,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.05,50,1,-0.8752065399885236,-0.9776444793280007,347.13697223270634,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.1,0,1,-0.9268291328880363,-1.3051255849637966,66.98607289814551,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.1,10,1,-0.763270556759645,-1.1394568898899942,31.794169172035318,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.1,100,1,-0.43608010140110576,-0.8025773470454284,16.493350370155277,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.1,20,1,-0.7307815238270825,-1.036298731125386,73.33199354458003,512
1,Banana,MF.DeterministicMixFlow,MF.MALA,0.1,200,1,-0.5943276701530928,-0.6841047829128823,400.6999857727946,512
